,name,description,score,address,latitude,longitude,short_url
0,Studio avec Jardin et Parking Privés,"['Hébergement géré par un particulier', ""Situé à Bormes-les-Mimosas, à 2,5 km de la plage de l'Anglade, à 2,7 km de la plage de la Pointe de Gouron et à 3,8 km de La Favière, le Studio avec Jardin et Parking Privés propose un hébergement..."", '38 expériences vécues']","['8,7']","217 Rue des Iris, 83230 Bormes-les-Mimosas, France",43.1403633,6.3367149,https://www.booking.com/hotel/fr/217-rue-des-iris.fr.html?aid=304142
1,"4 bedrooms luxury appartment for 10p in Eguisheim, 10 mn from Colmar","['Hébergement géré par un particulier', ""Situé à Eguisheim, à 10 mn de Colmar, au cœur du marché de Noël d'Eguisheim, l'établissement 4 bedrooms luxury apartment for 10 p offre une vue sur la ville. "", '14 expériences vécues']","['8,9']","2e étage 5 Place du Marché aux Saules, 68420 Eguisheim, France",48.0426719,7.3055657,https://www.booking.com/hotel/fr/4-bedrooms-luxury-appartment-for-10p-in-eguisheim-10-mn-from-colmar.fr.html?aid=304142
2,46FM : Montauban Guest House,"['Le 46FM : Montauban Guest House se trouve au 46 faubourg du Moustier, sur la plus vieille avenue de Montauban. ', '151 expériences vécues']","['8,8']","46 Faubourg du Moustier, 82000 Montauban, France",44.012775,1.35639,https://www.booking.com/hotel/fr/46-fm.fr.html?aid=304142
3,A l'ombre du Palais,"[""Situé à 500 mètres du palais des Papes et à 10 minutes à pied du pont d'Avignon, l'établissement A l'ombre du Palais propose des hébergements avec une terrasse commune meublée et une connexion Wi-Fi..."", '72 expériences vécues']","['8,4']","25 RUE BERTRAND, 84000 Avignon, France",43.951729,4.810339,https://www.booking.com/hotel/fr/a-l-39-ombre-du-palais.fr.html?aid=304142
4,A l'ombre du verger,"['Hébergement géré par un particulier', ""Situé à Breitenau, l'établissement A l'ombre du verger dispose d'un salon commun, d'un jardin, d'une terrasse et d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. "", '64 expériences vécues']","['9,5']","61 rue principale, 67220 Breitenau, France",48.322523,7.289867,https://www.booking.com/hotel/fr/a-l-39-ombre-du-verger.fr.html?aid=304142
5,Abbaye des Capucins Spa & Resort,"['L’Abbaye des Capucins Spa & Resort vous accueille à Montauban, à 30 minutes en voiture de Toulouse. ', '1 754 expériences vécues']","['8,4']","6-8 Quai De Verdun, 82000 Montauban, France",44.02054293,1.34956688,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.fr.html?aid=304142
6,Ace Hotel Annecy,"[""Doté d'une réception ouverte 24h/24, l'Ace Hotel Annecy est situé à Seynod, à moins de 5 km du lac d'Annecy et du centre-ville d'Annecy. "", '3 275 expériences vécues']","['8,2']","8 Boulevard du Semnoz  - Zone d'activités  de Periaz Seynod, 74600 Annecy, France",45.88008995,6.09713048,https://www.booking.com/hotel/fr/ace-annecy.fr.html?aid=304142
7,Zenitude Hôtel-Résidences Nîmes Centre,"['Le Zenitude Hôtel-Résidences Nîmes Centre est une résidence respectueuse de l’environnement située à Nîmes. Le parc des expositions vous attend à 1,6\xa0km. Une connexion Wi-Fi gratuite est disponible. ', '2 213 expériences vécues']","['7,6']","5 allée Boissy d'Anglas - Triangle de la Gare, 30000 Nîmes, France",43.83249328,4.36785668,https://www.booking.com/hotel/fr/adagio-access-nimes.fr.html?aid=304142
8,Hôtel Aiglon,"['Situé au cœur du quartier de Montparnasse, cet hôtel design est à seulement 30 mètres de la station de métro Raspail. Les chambres sont modernes et élégantes avec connexion Wi-Fi gratuite. ', '877 expériences vécues']","['8,8']","232 Boulevard Raspail, 14e arr., 75014 Paris, France",48.83971177,2.33017266,https://www.booking.com/hotel/fr/aiglon.fr.html?aid=304142
9,Hôtel AKENA BESANCON,"[""Situé à Besançon, à 7\xa0km du parc Micropolis, l'Hôtel AKENA BESANCON propose un restaurant, un parking privé gratuit, un bar et une terrasse. "", '1 193 expériences vécues']","['8,7']","1 Rue Victor Considérant - Parc de L’Echange-Vaux les Prés, 25770 Besançon, France",47.23547525,5.9000854,https://www.booking.com/hotel/fr/akena-besancon.fr.html?aid=304142
10,All Suites Besançon,"[""L'Hôtel All Suites Besançon dispose d'un sauna, d'une salle de sport et d'une connexion Wi-Fi gratuite, accessible dans l'ensemble de ses locaux. "", '2 384 expériences vécues']","['8,0']","17 Avenue des Montboucons, 25000 Besançon, France",47.25435723,5.99548012,https://www.booking.com/hotel/fr/all-suites-besancon.fr.html?aid=304142
11,Alliance Lille - Couvent Des Minimes,"[""L'Alliance Lille - Couvent Des Minimes occupe un ancien couvent du XVIIe siècle situé à 5 minutes du centre de Lille. "", '1 401 expériences vécues']","['7,8']","17 Quai Du Wault, Vieux-Lille, 59027 Lille, France",50.63786885,3.0546277,https://www.booking.com/hotel/fr/alliance-lille-couvent-des-minimes.fr.html?aid=304142
12,Hôtel Altica La Rochelle,"['L’Hôtel Altica La Rochelle vous accueille à seulement 1\xa0km du centre-ville de la Rochelle. propose des chambres confortables équipées d’une connexion Wi-Fi gratuite. ', '1 841 expériences vécues']","['6,9']","49, Rue de la Scierie Les Minimes, 17000 La Rochelle, France",46.14939066,-1.15375221,https://www.booking.com/hotel/fr/altica-la-rochelle.fr.html?aid=304142
13,Hotel Elysees Opera,"['Situé dans le très chic 8ème arrondissement de Paris, cet hôtel propose des chambres modernes dotées d’un balcon. ', '685 expériences vécues']","['8,3']","17, rue de Turin, 8e arr., 75008 Paris, France",48.88141526,2.32455321,https://www.booking.com/hotel/fr/america.fr.html?aid=304142
14,Amiens LOFT,"[""L'Amiens LOFT propose un appartement dans le quartier de Saint-Leu. Il se trouve à 270 mètres du parc Saint-Pierre et offre une vue sur la cathédrale d'Amiens située à 400 mètres. "", '65 expériences vécues']","['9,4']","10 Place Parmentier, Apt 405, 80000 Amiens, France",49.89582519,2.30412349,https://www.booking.com/hotel/fr/amiens-loft.fr.html?aid=304142
15,Appartement Bord de Mer La Faviere,"['Hébergement géré par un particulier', ""Rénové en janvier 2022, l'Apartement La Faviere est situé à Bormes-les-Mimosas et dispose d'une terrasse avec vue sur le jardin. Vous trouverez des restaurants et des boutiques à moins de 400 mètres. "", '43 expériences vécues']","['8,2']","112 boulevard de la plage, 83230 Bormes-les-Mimosas, France",43.12602594,6.35675467,https://www.booking.com/hotel/fr/apartement-la-faviere-bormes-les-mimosas.fr.html?aid=304142
16,Aparthotel Adagio Access Dijon République,"[""Situé dans le centre-ville de Dijon, à seulement 3 minutes à pied de la place de la République, l'Aparthotel Adagio Access Dijon République propose une réception ouverte 24h/24 et une connexion Wi-Fi..."", '1 402 expériences vécues']","['8,5']","33 rue de Mulhouse, 21000 Dijon, France",47.325526,5.0494804,https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.fr.html?aid=304142
17,Apartment Jeanne,"[""Situé à Carcassonne, à 200 mètres de la Maison des Mémoires, à 600 mètres de la cathédrale et à 5 km du campus de l'IUT de Perpignan - Carcassonne, l'Apartment Jeanne propose un hébergement avec une..."", '29 expériences vécues']","['9,4']","54 Rue Voltaire, 11000 Carcassonne, France",43.211158,2.350889,https://www.booking.com/hotel/fr/apartment-jeanne.fr.html?aid=304142
18,Appart'Hôtel Bellevue,"[""Situé dans un jardin, l'Appart'Hôtel Bellevue propose un hébergement à Bayonne, à seulement 2,4 km de la cathédrale Sainte-Marie. "", '295 expériences vécues']","['8,7']","40 Chemin du Moulin de Habas, 64100 Bayonne, France",43.50579423,-1.45608832,https://www.booking.com/hotel/fr/appart-39-bellevue.fr.html?aid=304142
19,Appart'City Confort Nimes Arenes,"[""L'Appart'City Confort Nîmes Arenes est situé dans le centre historique de Nîmes, à 1 minute à pied des arènes, à 300 mètres de la gare et à proximité d'un parking public souterrain. "", '1 984 expériences vécues']","['8,8']","1 Boulevard De Bruxelles, 30000 Nîmes, France",43.83387353,4.36143396,https://www.booking.com/hotel/fr/appart-39-city-nimes.fr.html?aid=304142
20,Odalys City Amiens Blamont,"[""Situé à 2,8 km du Zénith d'Amiens et à 900 mètres du musée Berny à Amiens, l'Odalys City Amiens Blamont propose des hébergements avec une connexion Wi-Fi gratuite. "", '1 126 expériences vécues']","['8,3']","25 rue du Blamont, 80000 Amiens, France",49.88714842,2.3116109,https://www.booking.com/hotel/fr/appart-39-odalys-blamont.fr.html?aid=304142
21,Odalys City Colmar La Rose d'Argent,"[""Situé à Colmar, à seulement 1,6 km de la gare, l'Odalys City Colmar La Rose d'Argent propose une salle de sport et une piscine à contre-courant avec jets de massage. "", '4 541 expériences vécues']","['7,9']","2 RUE DU GRILLENBREIT, 68000 Colmar, France",48.07891558,7.36514839,https://www.booking.com/hotel/fr/appart-39-odalys-la-rose-d-39-argent.fr.html?aid=304142
22,Odalys City Dijon Les Cordeliers,"[""L'Odalys City Dijon Les Cordeliers est situé dans le centre historique de Dijon. "", '3 892 expériences vécues']","['8,1']","3/5, rue Turgot, Centre-ville de Dijon, 21000 Dijon, France",47.31827001,5.04011462,https://www.booking.com/hotel/fr/appart-39-odalys-les-cordeliers.fr.html?aid=304142
23,appart central,"['Hébergement géré par un particulier', ""Situé à Collioure, à 250 mètres de la plage de Port Avall et à 350 mètres de celle de Boramar, l'appart central dispose de la climatisation. "", '120 expériences vécues']","['9,0']","32 bis impasse du jardin baretge, 66190 Collioure, France",42.52488242,3.08187893,https://www.booking.com/hotel/fr/appart-central-collioure.fr.html?aid=304142
24,Zenitude Hôtel-Résidences Les Hauts d'Annecy,"['Le Zenitude Hôtel - Résidences Les Hauts d’Annecy se situe à Seynod, à 3\xa0km du lac d’Annecy et à 2\xa0km du centre-ville. ', '4 018 expériences vécues']","['7,0']","16, rue du Champ de la Taillee, 74600 Annecy, France",45.890749,6.107753,https://www.booking.com/hotel/fr/appart-city-annecy-seynod.fr.html?aid=304142
25,Appart'City Nimes,"[""L’Appart'City Nîmes est situé à Nîmes, à 500 mètres du centre sportif et parc des expositions Le Parnasse, ainsi qu’à 20\xa0minutes à pied des arènes de Nîmes et de la gare TGV. "", '1 824 expériences vécues']","['7,2']","364, allée de l’Amérique Latine, 30900 Nîmes, France",43.82158549,4.3645978,https://www.booking.com/hotel/fr/appart-city-nimes.fr.html?aid=304142
26,Appartement Centre 2 chambres tout confort,"['Hébergement géré par un particulier', ""Situé dans le centre de Rouen, à moins de 1,4 km de la cathédrale Notre-Dame, l'Appartement Centre 2 chambres tout confort offre une vue sur la ville. "", '141 expériences vécues']","['8,8']","7 Rue Dulong, 76000 Rouen, France",49.4462748,1.0991111,https://www.booking.com/hotel/fr/appartement-centre-2-chambres-tout-confort.fr.html?aid=304142
27,appartement cosy à 10 mètres du port de Cassis,"['Hébergement géré par un particulier', ""Situé à Cassis, à 250 mètres de la Grande Mer et à 450 mètres de Bestouan, l'appartement cosy à 10 mètres du port de Cassis propose une connexion Wi-Fi gratuite et la climatisation. "", '153 expériences vécues']","['8,3']","6 Rue Bremond, 13260 Cassis, France",43.21533507,5.53686093,https://www.booking.com/hotel/fr/appartement-cosy-a-10-metres-du-port-de-cassis.fr.html?aid=304142
